id,repo,path,full_path_to_open,pass1_path_only,pass2_after_reading_file,confident_yes_no,notes
1,"n-dx-1","packages/rex/src/analyze/scanners.ts","/Users/nolanmoore/n-dx-1/packages/rex/src/analyze/scanners.ts",,,,
2,"AsterMind-Community-Edition","examples/lessons/L00-elm-primer/live-demo.js","/Users/nolanmoore/n-dx-elm-corpus/AsterMind-Community-Edition/examples/lessons/L00-elm-primer/live-demo.js",,,,
3,"n-dx-1","packages/web/src/server/task-usage/usage-cleanup-scheduler.ts","/Users/nolanmoore/n-dx-1/packages/web/src/server/task-usage/usage-cleanup-scheduler.ts",,,,
4,"AsterMind-Community-Edition","src/synth/examples/trainELMFromSynth.ts","/Users/nolanmoore/n-dx-elm-corpus/AsterMind-Community-Edition/src/synth/examples/trainELMFromSynth.ts",,,,
5,"n-dx-1","packages/hench/src/agent/lifecycle/vendor-adapter.ts","/Users/nolanmoore/n-dx-1/packages/hench/src/agent/lifecycle/vendor-adapter.ts",,,,
6,"n-dx-1","packages/sourcevision/src/analyzers/claude-client.ts","/Users/nolanmoore/n-dx-1/packages/sourcevision/src/analyzers/claude-client.ts",,,,
7,"AsterMind-Community-Edition","src/pro/retrieval/vectorization.ts","/Users/nolanmoore/n-dx-elm-corpus/AsterMind-Community-Edition/src/pro/retrieval/vectorization.ts",,,,
8,"n-dx-1","packages/rex/src/cli/folder-tree-path.ts","/Users/nolanmoore/n-dx-1/packages/rex/src/cli/folder-tree-path.ts",,,,
9,"AsterMind-Community-Edition","src/synth/generators/RetrievalGenerator.ts","/Users/nolanmoore/n-dx-elm-corpus/AsterMind-Community-Edition/src/synth/generators/RetrievalGenerator.ts",,,,
10,"n-dx-1","packages/rex/src/cli/model-resolution.ts","/Users/nolanmoore/n-dx-1/packages/rex/src/cli/model-resolution.ts",,,,
11,"AsterMind-Community-Edition","examples/lessons/_template/live-demo.js","/Users/nolanmoore/n-dx-elm-corpus/AsterMind-Community-Edition/examples/lessons/_template/live-demo.js",,,,
12,"n-dx-1","packages/sourcevision/src/analyzers/branch-work-classifier.ts","/Users/nolanmoore/n-dx-1/packages/sourcevision/src/analyzers/branch-work-classifier.ts",,,,
13,"n-dx-1","packages/sourcevision/src/analyzers/zone-output.ts","/Users/nolanmoore/n-dx-1/packages/sourcevision/src/analyzers/zone-output.ts",,,,
14,"n-dx-1","packages/web/src/server/shared-types.ts","/Users/nolanmoore/n-dx-1/packages/web/src/server/shared-types.ts",,,,
15,"n-dx-1","packages/web/src/server/routes-rex/health.ts","/Users/nolanmoore/n-dx-1/packages/web/src/server/routes-rex/health.ts",,,,
16,"n-dx-1","packages/llm-client/src/auth-guidance.ts","/Users/nolanmoore/n-dx-1/packages/llm-client/src/auth-guidance.ts",,,,
17,"n-dx-1","packages/llm-client/src/project-dirs.ts","/Users/nolanmoore/n-dx-1/packages/llm-client/src/project-dirs.ts",,,,
18,"n-dx-1","packages/llm-client/src/auth.ts","/Users/nolanmoore/n-dx-1/packages/llm-client/src/auth.ts",,,,
19,"n-dx-1","packages/web/src/viewer/polling/tick-visibility-gate.ts","/Users/nolanmoore/n-dx-1/packages/web/src/viewer/polling/tick-visibility-gate.ts",,,,
20,"n-dx-1","packages/hench/src/quota/codex-token-retrieval.ts","/Users/nolanmoore/n-dx-1/packages/hench/src/quota/codex-token-retrieval.ts",,,,
21,"AsterMind-Community-Edition","src/tasks/LanguageClassifier.ts","/Users/nolanmoore/n-dx-elm-corpus/AsterMind-Community-Edition/src/tasks/LanguageClassifier.ts",,,,
22,"n-dx-1","packages/rex/src/cli/help.ts","/Users/nolanmoore/n-dx-1/packages/rex/src/cli/help.ts",,,,
23,"n-dx-1","packages/web/src/server/response-utils.ts","/Users/nolanmoore/n-dx-1/packages/web/src/server/response-utils.ts",,,,
24,"n-dx-1","scan_transcripts.py","/Users/nolanmoore/n-dx-1/scan_transcripts.py",,,,
25,"n-dx-1","packages/web/src/viewer/loader/data-loader.ts","/Users/nolanmoore/n-dx-1/packages/web/src/viewer/loader/data-loader.ts",,,,
26,"n-dx-1","packages/web/src/viewer/external.ts","/Users/nolanmoore/n-dx-1/packages/web/src/viewer/external.ts",,,,
27,"n-dx-1","packages/rex/src/cli/mcp-tools.ts","/Users/nolanmoore/n-dx-1/packages/rex/src/cli/mcp-tools.ts",,,,
28,"n-dx-1","packages/llm-client/src/google-api-provider.ts","/Users/nolanmoore/n-dx-1/packages/llm-client/src/google-api-provider.ts",,,,
29,"n-dx-1","packages/hench/src/agent/lifecycle/shared.ts","/Users/nolanmoore/n-dx-1/packages/hench/src/agent/lifecycle/shared.ts",,,,
30,"n-dx-1","packages/sourcevision/src/analyzers/components.ts","/Users/nolanmoore/n-dx-1/packages/sourcevision/src/analyzers/components.ts",,,,
31,"n-dx-1","packages/hench/src/agent/analysis/stuck.ts","/Users/nolanmoore/n-dx-1/packages/hench/src/agent/analysis/stuck.ts",,,,
32,"n-dx-1","packages/hench/src/process/memory-throttle.ts","/Users/nolanmoore/n-dx-1/packages/hench/src/process/memory-throttle.ts",,,,
33,"n-dx-1","packages/hench/src/process/pool.ts","/Users/nolanmoore/n-dx-1/packages/hench/src/process/pool.ts",,,,
34,"n-dx-1","packages/web/src/server/pr-markdown-refresh-diagnostics.ts","/Users/nolanmoore/n-dx-1/packages/web/src/server/pr-markdown-refresh-diagnostics.ts",,,,
