id,repo,path,full_path_to_open,pass1_path_only,pass2_after_reading_file,confident_yes_no,notes
1,"hono","src/adapter/deno/ssg.ts","/Users/nolanmoore/n-dx-elm-corpus/hono/src/adapter/deno/ssg.ts",,,,
2,"trpc","packages/server/src/@trpc/server/rpc.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/packages/server/src/@trpc/server/rpc.ts",,,,
3,"trpc","examples/next-prisma-starter/src/server/context.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/examples/next-prisma-starter/src/server/context.ts",,,,
4,"hono","src/adapter/cloudflare-workers/utils.ts","/Users/nolanmoore/n-dx-elm-corpus/hono/src/adapter/cloudflare-workers/utils.ts",,,,
5,"hono","benchmarks/routers-deno/src/koa-router.mts","/Users/nolanmoore/n-dx-elm-corpus/hono/benchmarks/routers-deno/src/koa-router.mts",,,,
6,"hono","benchmarks/jsx/src/preact.ts","/Users/nolanmoore/n-dx-elm-corpus/hono/benchmarks/jsx/src/preact.ts",,,,
7,"trpc","packages/client/src/unstable-internals.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/packages/client/src/unstable-internals.ts",,,,
8,"hono","src/request.ts","/Users/nolanmoore/n-dx-elm-corpus/hono/src/request.ts",,,,
9,"trpc","packages/server/src/rpc.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/packages/server/src/rpc.ts",,,,
10,"trpc","examples/lambda-api-gateway/src/server.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/examples/lambda-api-gateway/src/server.ts",,,,
11,"trpc","packages/tanstack-react-query/src/internals/utils.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/packages/tanstack-react-query/src/internals/utils.ts",,,,
12,"trpc","packages/react-query/src/shared/polymorphism/queryLike.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/packages/react-query/src/shared/polymorphism/queryLike.ts",,,,
13,"trpc","examples/next-prisma-websockets-starter/src/server/prisma.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/examples/next-prisma-websockets-starter/src/server/prisma.ts",,,,
14,"hono","src/jsx/children.ts","/Users/nolanmoore/n-dx-elm-corpus/hono/src/jsx/children.ts",,,,
15,"trpc","examples/next-formdata/src/server/routers/room.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/examples/next-formdata/src/server/routers/room.ts",,,,
16,"trpc","packages/next/src/app-dir/client.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/packages/next/src/app-dir/client.ts",,,,
17,"trpc","packages/next/src/app-dir/server.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/packages/next/src/app-dir/server.ts",,,,
18,"trpc","packages/server/src/adapters/next-app-dir/notFound.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/packages/server/src/adapters/next-app-dir/notFound.ts",,,,
19,"hono","src/jsx/jsx-dev-runtime.ts","/Users/nolanmoore/n-dx-elm-corpus/hono/src/jsx/jsx-dev-runtime.ts",,,,
20,"hono","src/adapter/vercel/conninfo.ts","/Users/nolanmoore/n-dx-elm-corpus/hono/src/adapter/vercel/conninfo.ts",,,,
21,"trpc","examples/next-sse-chat/src/server/db/schema.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/examples/next-sse-chat/src/server/db/schema.ts",,,,
22,"trpc","packages/server/src/unstable-core-do-not-import/transformer.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/packages/server/src/unstable-core-do-not-import/transformer.ts",,,,
23,"trpc","examples/openapi-codegen/src/server/db.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/examples/openapi-codegen/src/server/db.ts",,,,
24,"trpc","examples/.experimental/next-app-dir/src/app/posts/_lib/trpc.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/examples/.experimental/next-app-dir/src/app/posts/_lib/trpc.ts",,,,
25,"trpc","packages/next/src/app-dir/links/nextHttp.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/packages/next/src/app-dir/links/nextHttp.ts",,,,
26,"hono","src/adapter/vercel/handler.ts","/Users/nolanmoore/n-dx-elm-corpus/hono/src/adapter/vercel/handler.ts",,,,
27,"hono","src/hono-base.ts","/Users/nolanmoore/n-dx-elm-corpus/hono/src/hono-base.ts",,,,
28,"hono","src/adapter/bun/server.ts","/Users/nolanmoore/n-dx-elm-corpus/hono/src/adapter/bun/server.ts",,,,
29,"trpc","examples/next-sse-chat/src/app/channels/[channelId]/hooks.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/examples/next-sse-chat/src/app/channels/[channelId]/hooks.ts",,,,
30,"trpc","examples/.test/diagnostics-big-router/src/server/trpc.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/examples/.test/diagnostics-big-router/src/server/trpc.ts",,,,
31,"trpc","packages/client/src/links/httpBatchStreamLink.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/packages/client/src/links/httpBatchStreamLink.ts",,,,
32,"trpc","examples/.test/monotest-trpc/src/trpc.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/examples/.test/monotest-trpc/src/trpc.ts",,,,
33,"trpc","packages/next/src/app-dir/links/nextCache.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/packages/next/src/app-dir/links/nextCache.ts",,,,
34,"trpc","packages/server/src/adapters/next-app-dir.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/packages/server/src/adapters/next-app-dir.ts",,,,
35,"hono","benchmarks/http-server/benchmark.ts","/Users/nolanmoore/n-dx-elm-corpus/hono/benchmarks/http-server/benchmark.ts",,,,
36,"trpc","examples/next-prisma-starter/src/server/prisma.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/examples/next-prisma-starter/src/server/prisma.ts",,,,
37,"trpc","examples/lambda-url/src/server.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/examples/lambda-url/src/server.ts",,,,
38,"hono","src/jsx/dom/css.ts","/Users/nolanmoore/n-dx-elm-corpus/hono/src/jsx/dom/css.ts",,,,
39,"hono","benchmarks/routers-deno/src/hono.mts","/Users/nolanmoore/n-dx-elm-corpus/hono/benchmarks/routers-deno/src/hono.mts",,,,
40,"trpc","packages/client/src/links/wsLink/createWsClient.ts","/Users/nolanmoore/n-dx-elm-corpus/trpc/packages/client/src/links/wsLink/createWsClient.ts",,,,
41,"trpc","examples/nuxt/app.vue","/Users/nolanmoore/n-dx-elm-corpus/trpc/examples/nuxt/app.vue",,,,
